Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
Madi Slave,77,0,77.0,0,0,0,77.0,0,0,0,0,0,77.0
Materia G,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
Nain Phomane,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
PIuRRulP,216,0,216.0,140,0,140.0,76.0,140,0,140.0,-64.0
DucdeNalfar,173,0,173.0,129,0,129.0,44.0,129,0,129.0,-85.0
Fat Bear,177,0,177.0,134,0,134.0,43.0,134,0,134.0,-91.0
OnePieceOfAl,183,0,183.0,141,0,141.0,42.0,141,0,141.0,-99.0
Mordreon,197,0,197.0,148,0,148.0,49.0,148,0,148.0,-99.0
Kiku,190,0,190.0,150,0,150.0,40.0,150,0,150.0,-110.0
Reaper Bear,231,1,234.0,189,0,189.0,45.0,189,0,189.0,-144.0
Ebano,265,0,265.0,209,0,209.0,56.0,209,0,209.0,-153.0
Unlore,302,5,317.0,224,4,236.0,81.0,224,4,236.0,-155.0
Theah,284,0,284.0,232,0,232.0,52.0,232,0,232.0,-180.0
Grey Jocu,307,0,307.0,249,0,249.0,58.0,249,0,249.0,-191.0
Small Yeetus,298,0,298.0,271,0,271.0,27.0,271,0,271.0,-244.0
swordss,326,3,335.0,287,3,296.0,39.0,287,3,296.0,-257.0
valkyria,365,6,383.0,314,6,332.0,51.0,314,6,332.0,-281.0
KAWO,441,1,444.0,364,0,364.0,80.0,364,0,364.0,-284.0
Argeade 88,356,9,383.0,313,9,340.0,43.0,313,9,340.0,-297.0
NHL,392,1,395.0,345,1,348.0,47.0,345,1,348.0,-301.0
Misteria,359,8,383.0,331,7,352.0,31.0,331,7,352.0,-321.0
Longinus,390,7,411.0,371,0,371.0,40.0,371,0,371.0,-331.0
BIG YEETUS,432,0,432.0,389,0,389.0,43.0,389,0,389.0,-346.0
FireStorM,416,16,464.0,379,16,427.0,37.0,379,16,427.0,-390.0
Bam,603,1,606.0,556,1,559.0,47.0,556,1,559.0,-512.0
parthXD,586,9,613.0,540,9,567.0,46.0,540,9,567.0,-521.0
Lohki,160,140,580.0,140,138,554.0,26.0,140,138,554.0,-528.0
imPIOus,695,0,695.0,642,0,642.0,53.0,642,0,642.0,-589.0
BGBORED,625,1,628.0,614,1,617.0,11.0,614,1,617.0,-606.0
GlossyDream,745,8,769.0,693,5,708.0,61.0,693,5,708.0,-647.0
Evily Angel,730,3,739.0,697,3,706.0,33.0,697,3,706.0,-673.0
Rubein,104,290,974.0,103,244,835.0,139.0,103,244,835.0,-696.0
Munchies,590,43,719.0,590,43,719.0,0.0,590,43,719.0,-719.0
ShakGaR,718,34,820.0,678,32,774.0,46.0,678,32,774.0,-728.0
asparuhdo,671,62,857.0,642,59,819.0,38.0,642,59,819.0,-781.0
BaelTheBard,927,2,933.0,895,2,901.0,32.0,895,2,901.0,-869.0
freeze3,1059,0,1059.0,998,0,998.0,61.0,998,0,998.0,-937.0
Ramsden,953,19,1010.0,933,18,987.0,23.0,933,18,987.0,-964.0
dingleberry,8,368,1112.0,8,344,1040.0,72.0,8,344,1040.0,-968.0
GoDDeSSoFWaR,1108,2,1114.0,1047,2,1053.0,61.0,1047,2,1053.0,-992.0
SirBillyS,426,227,1107.0,426,212,1062.0,45.0,426,212,1062.0,-1017.0
RaisingD,1069,10,1099.0,1036,10,1066.0,33.0,1036,10,1066.0,-1033.0
vampirewolfG,1089,36,1197.0,1014,36,1122.0,75.0,1014,36,1122.0,-1047.0
Orlaith,1043,31,1136.0,1011,31,1104.0,32.0,1011,31,1104.0,-1072.0
SAFIN4O,1153,6,1171.0,1107,6,1125.0,46.0,1107,6,1125.0,-1079.0
MACACS,1098,29,1185.0,1065,29,1152.0,33.0,1065,29,1152.0,-1119.0
SlackOfDoom,968,106,1286.0,940,91,1213.0,73.0,940,91,1213.0,-1140.0
