Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
HussyofWhips,993,715,3138.0,991,675,3016.0,122.0
Thantios,591,500,2091.0,590,462,1976.0,115.0
Fenryrr,2160,0,2160.0,2047,0,2047.0,113.0
Dark Asha,680,653,2639.0,665,623,2534.0,105.0
cerveau lent,2642,10,2672.0,2551,10,2581.0,91.0
Rubein,104,319,1061.0,104,290,974.0,87.0
Mikey AlThor,490,1000,3490.0,483,974,3405.0,85.0
Hohonok,18,499,1515.0,18,472,1434.0,81.0
Madi Slave,153,0,153.0,77,0,77.0,76.0
dingleberry,8,392,1184.0,8,368,1112.0,72.0
GlossyDream,805,11,838.0,745,8,769.0,69.0
brokenjade,761,937,3572.0,757,916,3505.0,67.0
arcane,2452,5,2467.0,2385,5,2400.0,67.0
SpanishFly,1454,7,1475.0,1389,7,1410.0,65.0
KAWO,505,1,508.0,441,1,444.0,64.0
valkyria,429,6,447.0,365,6,383.0,64.0
GrimReaPer,1384,11,1417.0,1324,11,1357.0,60.0
Cloud Strife,2230,0,2230.0,2172,0,2172.0,58.0
freeze3,1116,0,1116.0,1059,0,1059.0,57.0
PIuRRulP,272,0,272.0,216,0,216.0,56.0
ImPIOus,750,0,750.0,695,0,695.0,55.0
Grey Jocu,362,0,362.0,307,0,307.0,55.0
DarkLord Dan,1792,30,1882.0,1746,27,1827.0,55.0
HODOR,1422,13,1461.0,1370,13,1409.0,52.0
CerberusS,1736,10,1766.0,1684,10,1714.0,52.0
Unlore,351,6,369.0,302,5,317.0,52.0
Vhaera Black,52,0,52.0,0,0,0,52.0
NotTodayMate,1032,109,1359.0,988,107,1309.0,50.0
Theah,334,0,334.0,284,0,284.0,50.0
Bam,652,1,655.0,603,1,606.0,49.0
Cromwell 1,1441,52,1597.0,1393,52,1549.0,48.0
Kaison Baby,667,296,1555.0,667,280,1507.0,48.0
macgg,271,466,1669.0,271,450,1621.0,48.0
ROMEOKTON,1574,1,1577.0,1526,1,1529.0,48.0
Kiku,238,0,238.0,190,0,190.0,48.0
parthXD,633,9,660.0,586,9,613.0,47.0
Ebano,308,1,311.0,265,0,265.0,46.0
ODYSSEAS,1735,90,2005.0,1695,88,1959.0,46.0
NEBULA,2228,143,2657.0,2182,143,2611.0,46.0
Avalonati,1121,85,1376.0,1082,83,1331.0,45.0
Cormund,1846,127,2227.0,1801,127,2182.0,45.0
SAFIN4O,1191,8,1215.0,1153,6,1171.0,44.0
volo,1462,38,1576.0,1418,38,1532.0,44.0
Labalaskus,1916,228,2600.0,1872,228,2556.0,44.0
vampirewolfG,1133,36,1241.0,1089,36,1197.0,44.0
NHL,436,1,439.0,392,1,395.0,44.0
Evily Angel,774,3,783.0,730,3,739.0,44.0
Harold,1507,817,3958.0,1467,816,3915.0,43.0
draconis,1439,66,1637.0,1396,66,1594.0,43.0
THorus,2092,162,2578.0,2049,162,2535.0,43.0
eThea,1922,89,2189.0,1915,77,2146.0,43.0
OnePieceOfAl,225,0,225.0,183,0,183.0,42.0
Mordreon,239,0,239.0,197,0,197.0,42.0
swordss,368,3,377.0,326,3,335.0,42.0
GoDDeSSoFWaR,1150,2,1156.0,1108,2,1114.0,42.0
Reaper Bear,237,13,276.0,231,1,234.0,42.0
SlackOfDoom,991,112,1327.0,968,106,1286.0,41.0
Argeade 88,397,9,424.0,356,9,383.0,41.0
ArT,468,659,2445.0,468,646,2406.0,39.0
Bigbadguy,2935,1153,6394.0,2935,1140,6355.0,39.0
SirBillyS,426,240,1146.0,426,227,1107.0,39.0
Fat Bear,216,0,216.0,177,0,177.0,39.0
DucdeNalfar,211,0,211.0,173,0,173.0,38.0
Loekas20,1582,158,2056.0,1560,153,2019.0,37.0
BRUTALES,205,350,1255.0,205,338,1219.0,36.0
asparuhdo,701,64,893.0,671,62,857.0,36.0
Cassana,1560,0,1560.0,1524,0,1524.0,36.0
The Spikerer,652,703,2761.0,652,691,2725.0,36.0
ANAXIMANDROS,883,242,1609.0,859,238,1573.0,36.0
Blackrainbow,804,454,2166.0,790,447,2131.0,35.0
Misteria,393,8,417.0,359,8,383.0,34.0
HasturX,933,319,1890.0,908,316,1856.0,34.0
Madian II,2940,1053,6099.0,2918,1049,6065.0,34.0
BIGBAD PANDA,481,584,2233.0,481,573,2200.0,33.0
Blackpromise,1998,0,1998.0,1965,0,1965.0,33.0
FireStorM,449,16,497.0,416,16,464.0,33.0
Black wulf,32,0,32.0,0,0,0,32.0
NEBuULA,1002,125,1377.0,971,125,1346.0,31.0
Orlaith,1074,31,1167.0,1043,31,1136.0,31.0
Angelov ST,2156,72,2372.0,2125,72,2341.0,31.0
ShakGaR,748,34,850.0,718,34,820.0,30.0
The Rohirrim,948,308,1872.0,946,300,1846.0,26.0
MACACS,1124,29,1211.0,1098,29,1185.0,26.0
Ramsden,978,19,1035.0,953,19,1010.0,25.0
Mr Wrinkles,931,143,1360.0,906,143,1335.0,25.0
RaisingD,1093,10,1123.0,1069,10,1099.0,24.0
CastleFarmer,1757,5,1772.0,1733,5,1748.0,24.0
Lohki,181,141,604.0,160,140,580.0,24.0
BaelTheBard,938,5,953.0,927,2,933.0,20.0
knyaz Elemag,19,0,19.0,0,0,0,19.0
ElenaDrogon,18,0,18.0,0,0,0,18.0
fearless,16,0,16.0,0,0,0,16.0
Stiele,15,0,15.0,0,0,0,15.0
Lord Maxims,12,0,12.0,0,0,0,12.0
BGBORED,637,1,640.0,625,1,628.0,12.0
Longinus,390,8,414.0,390,7,411.0,3.0
Munchies,592,43,721.0,590,43,719.0,2.0
Nain Phomane,0,0,0.0,0,0,0.0,0.0
Total,,,134976.00,,,130544.00,4432.00
