,Players,Prev4's,Prev5's,Cur4's,Cur5's,Inc4's,Inc5's,4@1point,5@3point,total
37,17palad1nonm,0,0,0,671,0,671,0,2013,2013
21,Jaredsc,0,0,0,551,0,551,0,1653,1653
67,Sir Mogque,0,0,0,541,0,541,0,1623,1623
29,brokenjade,0,558,0,647,0,89,0,267,267
86,didialfeim,0,193,0,261,0,68,0,204,204
34,KING MAXIMUS,0,663,0,709,0,46,0,138,138
77,Alice Fart,0,252,0,296,0,44,0,132,132
27,xstanfordx,0,759,0,802,0,43,0,129,129
9,StankoSRBLFC,1851,762,1851,802,0,40,0,120,120
20,SlackOfDoom,38,586,38,622,0,36,0,108,108
25,Dasharath,4892,699,4892,732,0,33,0,99,99
24,ELENA,0,670,0,702,0,32,0,96,96
60,R1m,0,797,0,827,0,30,0,90,90
7,HussyofWhips,0,767,0,797,0,30,0,90,90
32,Klaus Schnee,0,539,0,569,0,30,0,90,90
61,ZENZEY,0,559,0,588,0,29,0,87,87
90,tiddabeth,0,40,0,69,0,29,0,87,87
59,Karlosas,0,978,0,1005,0,27,0,81,81
81,komyc,2743,918,2743,945,0,27,0,81,81
43,Wntrking,0,789,0,815,0,26,0,78,78
30,Mikey AlThor,2,465,2,491,0,26,0,78,78
75,MariaZoe,0,669,0,694,0,25,0,75,75
10,LalaTheWhite,0,492,0,517,0,25,0,75,75
0,King Rale,176,1835,176,1859,0,24,0,72,72
11,dingleberry,0,511,0,535,0,24,0,72,72
5,MorganKell,0,872,0,895,0,23,0,69,69
26,Schurke66,0,509,0,531,0,22,0,66,66
54,buddha6366,842,867,842,889,0,22,0,66,66
39,SEARCHER,1525,1160,1525,1182,0,22,0,66,66
22,koddi,6,591,6,612,0,21,0,63,63
64,EnchantressM,0,842,0,862,0,20,0,60,60
73,pembaa,0,84,0,104,0,20,0,60,60
12,Theomore,0,599,0,619,0,20,0,60,60
47,Lord Anibal,11,555,11,575,0,20,0,60,60
78,FaFnir,0,267,0,287,0,20,0,60,60
82,Foxxy,3265,755,3265,775,0,20,0,60,60
92,Daessa,0,0,0,19,0,19,0,57,57
65,30PAH,3372,619,3372,637,0,18,0,54,54
56,malimiki,3449,562,3449,580,0,18,0,54,54
40,Gunnarr716,0,575,0,593,0,18,0,54,54
2,EDOX,1631,1319,1631,1337,0,18,0,54,54
85,UhtredR,2,451,2,469,0,18,0,54,54
83,DKH,0,587,0,605,0,18,0,54,54
13,BuharaShroom,12,584,12,602,0,18,0,54,54
91,Mindaugyno,0,21,0,38,0,17,0,51,51
88,RoGue Prince,0,147,0,164,0,17,0,51,51
6,JohnHawkwood,2018,1430,2018,1447,0,17,0,51,51
74,Omnos,0,67,0,84,0,17,0,51,51
66,Brooster,0,161,0,178,0,17,0,51,51
16,mirjan,0,339,1,355,1,16,1,48,49
63,SFuRak,5834,1107,5834,1123,0,16,0,48,48
46,vampirewolfG,1,499,1,515,0,16,0,48,48
33,xLestat,0,546,0,562,0,16,0,48,48
50,IronPrice,0,238,0,254,0,16,0,48,48
49,RMonn,0,238,0,254,0,16,0,48,48
48,Draakir,0,237,0,252,0,15,0,45,45
41,GEERT,868,890,868,905,0,15,0,45,45
87,GooSE,0,155,0,170,0,15,0,45,45
58,docente,1189,613,1189,628,0,15,0,45,45
70,L Mariscal,4,516,4,531,0,15,0,45,45
69,Thos,2,365,2,380,0,15,0,45,45
53,Boss X,33,340,35,354,2,14,2,42,44
17,Kingsy D,3456,932,3457,946,1,14,1,42,43
72,freeze3,0,255,0,269,0,14,0,42,42
42,Maverick,0,201,0,215,0,14,0,42,42
84,arcane,0,550,0,564,0,14,0,42,42
8,ArT,0,469,0,483,0,14,0,42,42
36,12M,1421,621,1421,635,0,14,0,42,42
28,Dark Heartt,0,261,0,275,0,14,0,42,42
51,Blackrainbow,1,514,1,528,0,14,0,42,42
80,AHEGON,0,56,0,69,0,13,0,39,39
79,Eragon67,1,272,1,285,0,13,0,39,39
35,MaceWindujr,1276,1391,1276,1404,0,13,0,39,39
18,VASE,1,501,1,514,0,13,0,39,39
45,TripleP,2,452,2,465,0,13,0,39,39
38,DaisY,0,520,0,533,0,13,0,39,39
68,Csapek,0,529,0,541,0,12,0,36,36
76,DownBubble,2,431,2,443,0,12,0,36,36
14,Duke Martin,2095,874,2095,886,0,12,0,36,36
31,SashaM,799,1526,799,1538,0,12,0,36,36
62,MORTI,196,1257,196,1269,0,12,0,36,36
23,knyaz Elemag,5,475,5,486,0,11,0,33,33
3,pikabooooo,954,469,954,480,0,11,0,33,33
19,Wareblade,0,439,0,449,0,10,0,30,30
4,Guts Black,2851,1250,2851,1260,0,10,0,30,30
57,Freyyr,0,191,0,200,0,9,0,27,27
15,DarkLord Dan,0,575,0,583,0,8,0,24,24
71,JuicyFuit,1,309,1,317,0,8,0,24,24
55,FreyaMaiden,0,244,0,250,0,6,0,18,18
89,Knakker,0,65,0,69,0,4,0,12,12
52,DIKEFALOS21,0,455,0,458,0,3,0,9,9
44,Odr,0,167,0,169,0,2,0,6,6
1,Lord Gitter,1251,853,1251,853,0,0,0,0,0
