,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
57,Karlosas,0,1221,7,0,1283,7,0,62,0,0,310,0,310
24,brokenjade,1,1026,75,2,1083,79,1,57,4,1,285,20,306
19,SlackOfDoom,39,737,87,39,787,91,0,50,4,0,250,20,270
5,Guts Black,2851,1297,141,2851,1339,146,0,42,5,0,210,25,235
60,R1m,0,1030,6,0,1069,6,0,39,0,0,195,0,195
79,DownBubble,2,551,1,2,587,1,0,36,0,0,180,0,180
83,Kaelthas27,1,46,1,2,81,1,1,35,0,1,175,0,176
65,didialfeim,0,504,5,0,535,5,0,31,0,0,155,0,155
56,Brooster,0,297,8,0,327,9,0,30,1,0,150,5,155
11,Theomore,0,732,123,0,759,126,0,27,3,0,135,15,150
68,30PAH,3372,791,4,3372,820,4,0,29,0,0,145,0,145
21,Jaredsc,0,687,86,0,713,89,0,26,3,0,130,15,145
66,MORTI,196,1407,4,196,1435,4,0,28,0,0,140,0,140
58,EnchantressM,0,1004,7,0,1031,7,0,27,0,0,135,0,135
33,SashaM,799,1671,53,799,1695,56,0,24,3,0,120,15,135
8,JohnHawkwood,2018,1564,134,2018,1588,137,0,24,3,0,120,15,135
80,Alice Fart,0,480,1,0,507,1,0,27,0,0,135,0,135
84,komyc,2743,1099,0,2743,1125,0,0,26,0,0,130,0,130
26,Schurke66,0,656,71,0,679,73,0,23,2,0,115,10,125
2,EDOX,1631,1478,170,1631,1499,174,0,21,4,0,105,20,125
27,Klaus Schnee,0,684,69,0,707,71,0,23,2,0,115,10,125
22,koddi,6,721,80,6,742,84,0,21,4,0,105,20,125
78,DKH,0,744,1,1,768,1,1,24,0,1,120,0,121
35,17Palad1nOnm,0,789,46,0,813,46,0,24,0,0,120,0,120
46,FreyaMaiden,0,326,20,0,348,22,0,22,2,0,110,10,120
41,Wntrking,0,992,28,0,1014,30,0,22,2,0,110,10,120
14,DarkLord Dan,0,683,95,0,703,99,0,20,4,0,100,20,120
69,Thos,2,491,4,2,515,4,0,24,0,0,120,0,120
73,MariaZoe,0,829,2,1,852,2,1,23,0,1,115,0,116
49,Freyyr,0,277,17,0,298,19,0,21,2,0,105,10,115
76,freeze3,0,377,2,0,400,2,0,23,0,0,115,0,115
6,HussyofWhips,0,899,137,0,917,142,0,18,5,0,90,25,115
86,arcane,0,671,0,0,694,0,0,23,0,0,115,0,115
30,xLestat,0,671,62,0,694,62,0,23,0,0,115,0,115
32,MaceWindujr,1276,1489,57,1276,1510,59,0,21,2,0,105,10,115
12,StankoSRBLFC,1851,919,121,1851,940,123,0,21,2,0,105,10,115
36,Gunnarr716,0,694,42,0,713,46,0,19,4,0,95,20,115
48,vampirewolfG,1,611,17,1,632,19,0,21,2,0,105,10,115
1,Lord Gitter,1251,914,195,1251,930,201,0,16,6,0,80,30,110
9,LalaTheWhite,0,600,125,0,616,131,0,16,6,0,80,30,110
38,SEARCHER,1525,1314,35,1525,1336,35,0,22,0,0,110,0,110
64,ZENZEY,0,701,5,0,723,5,0,22,0,0,110,0,110
25,knyaz Elemag,5,573,74,5,593,76,0,20,2,0,100,10,110
71,pembaa,0,207,3,0,229,3,0,22,0,0,110,0,110
18,VASE,1,610,89,1,629,92,0,19,3,0,95,15,110
16,Duke Martin,2095,988,95,2095,1010,95,0,22,0,0,110,0,110
31,KING MAXIMUS,0,826,57,0,845,60,0,19,3,0,95,15,110
62,Csapek,0,647,6,0,668,6,0,21,0,0,105,0,105
61,Sir Mogque,0,647,6,0,668,6,0,21,0,0,105,0,105
63,Omnos,0,145,5,0,165,6,0,20,1,0,100,5,105
59,docente,1189,720,7,1189,741,7,0,21,0,0,105,0,105
70,Daessa,0,118,4,0,139,4,0,21,0,0,105,0,105
67,SFuRak,5835,1224,4,5835,1245,4,0,21,0,0,105,0,105
90,sakis111,0,9,0,0,30,0,0,21,0,0,105,0,105
81,FaFnir,0,402,1,0,423,1,0,21,0,0,105,0,105
4,pikabooooo,954,543,146,954,560,150,0,17,4,0,85,20,105
10,dingleberry,0,637,127,0,655,130,0,18,3,0,90,15,105
40,GEERT,868,1005,30,868,1026,30,0,21,0,0,105,0,105
88,RoGue Prince,0,269,0,0,290,0,0,21,0,0,105,0,105
28,Dasharath,4895,825,67,4896,845,67,1,20,0,1,100,0,101
55,malimiki,3449,688,10,3449,708,10,0,20,0,0,100,0,100
89,Mindaugyno,1,143,0,1,163,0,0,20,0,0,100,0,100
75,Eragon67,1,404,2,1,424,2,0,20,0,0,100,0,100
74,L Mariscal,4,634,2,4,654,2,0,20,0,0,100,0,100
13,BuharaShroom,12,680,114,12,695,119,0,15,5,0,75,25,100
85,Foxxy,3265,884,0,3265,904,0,0,20,0,0,100,0,100
23,ELENA,0,804,78,0,820,82,0,16,4,0,80,20,100
34,12M,1421,728,48,1421,747,49,0,19,1,0,95,5,100
37,Maverick,0,301,37,0,318,40,0,17,3,0,85,15,100
42,Draakir,0,339,27,0,358,28,0,19,1,0,95,5,100
43,IronPrice,0,340,25,0,358,27,0,18,2,0,90,10,100
44,RMonn,0,343,24,0,362,25,0,19,1,0,95,5,100
47,TripleP,2,543,21,2,563,21,0,20,0,0,100,0,100
51,Boss X,43,457,16,44,474,18,1,17,2,1,85,10,96
52,Blackrainbow,3,630,15,4,648,16,1,18,1,1,90,5,96
7,ArT,0,577,135,0,591,140,0,14,5,0,70,25,95
72,S4TN4AM1R,0,4,0,0,20,3,0,16,3,0,80,15,95
39,Odr,1,236,31,2,254,31,1,18,0,1,90,0,91
45,Lord Anibal,17,698,23,17,716,23,0,18,0,0,90,0,90
77,tiddabeth,0,231,2,0,249,2,0,18,0,0,90,0,90
50,DIKEFALOS21,0,558,17,0,575,18,0,17,1,0,85,5,90
29,xstanfordx,0,1076,60,0,1090,64,0,14,4,0,70,20,90
82,GooSE,0,264,1,0,281,1,0,17,0,0,85,0,85
20,Kingsy D,3464,1016,87,3464,1030,90,0,14,3,0,70,15,85
0,King Rale,176,1980,198,176,1992,203,0,12,5,0,60,25,85
87,UhtredR,2,583,0,2,599,0,0,16,0,0,80,0,80
15,mirjan,9,450,95,10,461,99,1,11,4,1,55,20,76
53,AHEGON,0,169,11,0,176,15,0,7,4,0,35,20,55
54,buddha6366,842,974,12,842,983,12,0,9,0,0,45,0,45
17,Wareblade,0,474,90,0,479,94,0,5,4,0,25,20,45
3,MorganKell,0,1081,161,0,1090,161,0,9,0,0,45,0,45
