,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
66,Pori Junior,0,0,0,0,64,8,0,64,8,0,320,40,360
9,brokenjade,3,2912,190,3,2973,195,0,61,5,0,305,25,330
44,milleeee,0,980,28,0,1032,32,0,52,4,0,260,20,280
57,Mikey AlThor,0,160,14,0,211,16,0,51,2,0,255,10,265
5,Theomore,0,1548,222,0,1592,226,0,44,4,0,220,20,240
75,tiddabeth,0,1097,4,0,1137,4,0,40,0,0,200,0,200
52,viktorija,0,395,22,0,432,25,0,37,3,0,185,15,200
88,Lord Frost,0,367,0,0,407,0,0,40,0,0,200,0,200
80,NuNo,0,782,1,0,821,1,0,39,0,0,195,0,195
95,RoGue Prince,0,0,0,0,38,0,0,38,0,0,190,0,190
65,R1m,0,1967,8,0,2005,8,0,38,0,0,190,0,190
23,17Palad1nOnm,3,1550,92,3,1587,93,0,37,1,0,185,5,190
41,didialfeim,0,1322,38,0,1355,40,0,33,2,0,165,10,175
64,Huuloc,0,804,10,0,838,10,0,34,0,0,170,0,170
27,trevers,0,453,79,0,481,83,0,28,4,0,140,20,160
11,SlackOfDoom,45,1999,185,45,2029,187,0,30,2,0,150,10,160
22,MaceWindujr,1277,2097,107,1277,2129,107,0,32,0,0,160,0,160
39,Dimsa,0,419,40,0,447,44,0,28,4,0,140,20,160
71,Mindaugyno,3,665,5,3,697,5,0,32,0,0,160,0,160
79,UhtredR,2,1138,1,2,1169,1,0,31,0,0,155,0,155
55,NotTodayMate,0,104,11,0,129,17,0,25,6,0,125,30,155
54,BOrke,0,248,17,0,275,21,0,27,4,0,135,20,155
33,Traksimus,0,318,65,0,345,69,0,27,4,0,135,20,155
69,ZENZEY,0,1241,6,0,1271,6,0,30,0,0,150,0,150
26,SATNAM1R,0,488,87,0,513,92,0,25,5,0,125,25,150
53,EnchantressM,0,1657,21,0,1685,21,0,28,0,0,140,0,140
47,Brooster,0,881,31,0,909,31,0,28,0,0,140,0,140
72,Set Ral,0,73,5,0,101,5,0,28,0,0,140,0,140
77,Eragon67,1,1009,2,1,1037,2,0,28,0,0,140,0,140
49,vampirewolfG,1,1215,26,1,1242,26,0,27,0,0,135,0,135
36,pembaa,0,760,51,0,783,55,0,23,4,0,115,20,135
46,Boss X,51,997,30,51,1023,31,0,26,1,0,130,5,135
70,MariaZoe,1,1469,4,1,1495,5,0,26,1,0,130,5,135
3,EDOX,1631,2073,261,1631,2097,263,0,24,2,0,120,10,130
83,variks,0,34,0,0,59,1,0,25,1,0,125,5,130
90,zui,0,215,0,0,240,0,0,25,0,0,125,0,125
67,MORTI,196,2102,6,196,2127,6,0,25,0,0,125,0,125
68,arcane,0,1250,6,0,1275,6,0,25,0,0,125,0,125
73,ANASTASIAs,0,33,1,0,54,5,0,21,4,0,105,20,125
93,freeze3,0,33,0,0,58,0,0,25,0,0,125,0,125
58,docente,1192,1445,11,1192,1468,12,0,23,1,0,115,5,120
56,Lord Lesa,0,233,13,0,254,16,0,21,3,0,105,15,120
19,xstanfordx,0,2661,125,0,2683,127,0,22,2,0,110,10,120
18,Duke Martin,2095,1444,130,2095,1467,131,0,23,1,0,115,5,120
14,koddi,6,1218,158,6,1238,162,0,20,4,0,100,20,120
89,KEVA MILEVA,0,233,0,0,256,0,0,23,0,0,115,0,115
50,Skipka,0,488,23,0,508,26,0,20,3,0,100,15,115
0,King Rale,177,2599,318,177,2617,323,0,18,5,0,90,25,115
48,Lord Anibal,21,1176,30,21,1199,30,0,23,0,0,115,0,115
10,mirjan,11,911,191,11,930,195,0,19,4,0,95,20,115
16,SEARCHER,1525,1771,145,1525,1791,148,0,20,3,0,100,15,115
34,Wntrking,0,424,56,0,444,59,0,20,3,0,100,15,115
42,Milos Iva,0,153,35,0,170,40,0,17,5,0,85,25,110
